,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,GDP,Unemployment_Rate,Federal_Funds_Rate,MSFT_sentiment,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_Upper,BB_Lower,Momentum,HL,HC,LC,TR,ATR
0,2019-09-25,131.33310091856026,133.6827759004705,129.92902951005837,133.10968017578125,21382000.0,0.0,0.0,21902.39,3.6,1.83,,,,,,0.0,0.0,,,,3.753746390412118,,,3.753746390412118,
1,2019-09-26,133.18612520945416,133.8929269183157,132.23097516013155,133.28163146972656,17456600.0,0.0,0.0,21902.39,3.6,1.83,,,,,,0.013716912337514486,0.0027433824675028974,,,,1.6619517581841592,0.7832467425344589,0.8787050156497003,1.6619517581841592,
2,2019-09-27,133.8642720122553,134.06485993301027,130.5212468788475,131.5528106689453,22477700.0,0.0,0.0,21902.39,3.6,1.83,,,,,,-0.1136041679428672,-0.020526127614571125,,,,3.543613054162762,0.7832284632837059,2.760384590879056,3.543613054162762,
3,2019-09-30,131.85843661987536,132.97596016927656,131.60054208557364,132.7944793701172,17280900.0,0.0,0.0,21902.39,3.6,1.83,,,,,,-0.11301202199561544,-0.039023306490779994,,,,1.3754180837029253,1.4231495003312489,0.047731416628323586,1.4231495003312489,
4,2019-10-01,133.39621280609092,133.9597476405485,130.8555110642078,130.92237854003906,21466600.0,0.0,0.0,21902.39,3.6,1.83,,132.3321960449219,,,,-0.26060158045348203,-0.08333896128332041,,,-2.1873016357421875,3.1042365763406963,1.1652682704313122,1.938968305909384,3.1042365763406963,
5,2019-10-02,130.13917710417746,130.25379043120353,127.5889285568292,128.61093139648438,30521700.0,0.0,0.0,21902.39,3.6,1.83,,131.4324462890625,,,,-0.5576535527430337,-0.17820187957526307,,,-4.6707000732421875,2.664861874374324,0.6685881088355359,3.33344998320986,3.33344998320986,
6,2019-10-03,128.89745004408564,130.61672243156218,127.24504513182416,130.1678009033203,24132900.0,0.0,0.0,21902.39,3.6,1.83,,130.80968017578124,,,,-0.6598368347294752,-0.2745288706061055,,,-1.385009765625,3.3716772997380247,2.005791035077806,1.3658862646602188,3.3716772997380247,
7,2019-10-04,130.61672722715136,132.04945184024626,130.30152606333908,131.92527770996094,22897700.0,0.0,0.0,21902.39,3.6,1.83,,130.88417358398436,,,,-0.5921778735369401,-0.3380586711922724,,,-0.86920166015625,1.7479257769071808,1.8816509369259506,0.13372516001876988,1.8816509369259506,
8,2019-10-07,130.9892151049994,131.9825642727936,130.87460181721482,130.97010803222656,15303700.0,0.0,0.0,21902.39,3.6,1.83,,130.51929931640626,,,,-0.6086161218402708,-0.3921701613218721,,,0.0477294921875,1.107962455578786,0.057286562832672416,1.0506758927461135,1.107962455578786,
9,2019-10-08,130.93195472437316,131.58144968387882,129.53742940774137,129.58518981933594,25550500.0,0.0,0.0,21902.39,3.6,1.83,,130.25186157226562,,,,-0.7250371012049186,-0.45874354929848143,,,0.9742584228515625,2.044020276137445,0.6113416516522534,1.4326786244851917,2.044020276137445,
