,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,GDP,Unemployment_Rate,Federal_Funds_Rate,GOOGL_sentiment,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_Upper,BB_Lower,Momentum,HL,HC,LC,TR,ATR
0,2019-09-25,60.65032187497841,62.246870652980895,60.310663030935096,62.14312744140625,26798000.0,0.0,0.0,21902.39,3.6,1.83,,,,,,0.0,0.0,,,,1.9362076220457993,,,1.9362076220457993,
1,2019-09-26,61.95358984434712,62.07978036389753,61.43886555698492,61.9610710144043,23166000.0,0.0,0.0,21902.39,3.6,1.83,,,,,,-0.014523019817815452,-0.002904603963563091,,,,0.6409148069126047,0.06334707750872326,0.704261884421328,0.704261884421328,
2,2019-09-27,61.988008549257415,62.0957434931256,60.60992062216815,61.146095275878906,34122000.0,0.0,0.0,21902.39,3.6,1.83,,,,,,-0.09074825927461916,-0.020473335025774305,,,,1.4858228709574561,0.13467247872130628,1.3511503922361499,1.4858228709574561,
3,2019-09-30,60.879251415401015,61.21891024040539,60.52114081308937,60.90618515014648,24470000.0,0.0,0.0,21902.39,3.6,1.83,,,,,,-0.16857284996987687,-0.050093238014594824,,,,0.6977694273160253,0.07281496452648639,0.6249544627895389,0.6977694273160253,
4,2019-10-01,60.97351884962621,61.49073940003669,60.12861087202919,60.15105438232422,24504000.0,0.0,0.0,21902.39,3.6,1.83,,61.26150665283203,,,,-0.2878638258682713,-0.09764735558533012,,,-1.9920730590820312,1.3621285280074957,0.5845542498902105,0.7775742781172852,1.3621285280074957,
5,2019-10-02,59.67722877004994,59.78994861700464,58.48667628214002,58.75052261352539,33030000.0,0.0,0.0,21902.39,3.6,1.83,,60.58298568725586,,,,-0.4897682492157216,-0.17607153431140843,,,-3.2105484008789062,1.303272334864623,0.3611057653195786,1.6643781001842015,1.6643781001842015,
6,2019-10-03,59.02085558001461,59.402908980302,58.01335198416308,59.32460403442383,28368000.0,0.0,0.0,21902.39,3.6,1.83,,60.05569229125977,,,,-0.596578402032037,-0.26017290785553415,,,-1.8214912414550781,1.3895569961389214,0.6523863667766108,0.7371706293623106,1.3895569961389214,
7,2019-10-04,59.56700022618818,60.47325681898876,59.40140989585155,60.39844131469727,24282000.0,0.0,0.0,21902.39,3.6,1.83,,59.90616149902344,,,,-0.5878007227405959,-0.32569847083254655,,,-0.5077438354492045,1.0718469231372083,1.1486527845649306,0.07680586142772228,1.1486527845649306,
8,2019-10-07,60.20092952609477,60.79495954087507,60.06925560627412,60.263275146484375,17040000.0,0.0,0.0,21902.39,3.6,1.83,,59.77757949829102,,,,-0.585007526198865,-0.37756028190581026,,,0.11222076416015625,0.7257039346009506,0.39651822617779686,0.32918570842315376,0.7257039346009506,
9,2019-10-08,59.79044829019775,60.1944467017874,59.32709520277381,59.35951614379883,20086000.0,0.0,0.0,21902.39,3.6,1.83,,59.61927185058594,,,,-0.648247107171585,-0.4316976469589652,,,0.6089935302734375,0.8673514990135871,0.06882844469697602,0.9361799437105631,0.9361799437105631,
10,2019-10-09,59.91813522254439,60.27375337629534,59.75802828416753,59.97150039672852,15948000.0,0.0,0.0,21902.39,3.6,1.83,,59.863467407226565,,,,-0.641587099356137,-0.4736755374383996,,,0.6468963623046946,0.5157250921278091,0.9142372324965109,0.39851214036870175,0.9142372324965109,
11,2019-10-10,59.78197066984404,60.63086659378379,59.74506330953899,60.324127197265625,12842000.0,0.0,0.0,21902.39,3.6,1.83,,60.06337203979492,,,,-0.6009278373569558,-0.49912599742211083,,,-0.07431411743164773,0.8858032842448011,0.6593661970552702,0.22643708718953093,0.8858032842448011,
12,2019-10-11,61.05032973137085,61.28574686260437,60.53211218700227,60.63535690307617,22330000.0,0.0,0.0,21902.39,3.6,1.83,,60.110755157470706,,,,-0.5373966688045471,-0.5067801316985981,,,0.3720817565917969,0.7536346756021004,0.9616196653387448,0.20798498973664437,0.9616196653387448,
13,2019-10-14,60.54458090734864,61.14259885819381,60.444330944477485,60.73810195922852,13296000.0,0.0,0.0,21902.39,3.6,1.83,,60.20572052001953,,,40.58045736259258,-0.4733011713703661,-0.5000843396329517,,,1.3785858154296946,0.6982679137163217,0.5072419551176353,0.19102595859868643,0.6982679137163217,1.107899299124575
14,2019-10-15,60.92414270289999,62.20247529935087,60.89521500396174,61.95858001708984,27584000.0,0.0,0.0,21902.39,3.6,1.83,,60.72553329467773,,,48.93675659994194,-0.3203300827663895,-0.46413348825963935,,,1.987079620361314,1.3072602953891348,1.46437334012235,0.1571130447332152,1.46437334012235,1.0741968504157573
