,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,GDP,Unemployment_Rate,Federal_Funds_Rate,TSLA_sentiment,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_Upper,BB_Lower,Momentum,HL,HC,LC,TR,ATR
0,2019-09-25,14.970666885375977,15.26533317565918,14.557332992553713,15.24666690826416,141406500.0,0.0,0.0,21902.39,3.6,1.83,,,,,,0.0,0.0,,,,0.708000183105467,,,0.708000183105467,
1,2019-09-26,15.37733268737793,16.220666885375977,15.15999984741211,16.17066764831543,178267500.0,0.0,0.0,21902.39,3.6,1.83,,,,,,0.07370946074482987,0.014741892148965974,,,,1.0606670379638672,0.9739999771118164,0.08666706085205078,1.0606670379638672,
2,2019-09-27,16.14666748046875,16.58066749572754,15.915332794189451,16.142000198364258,166746000.0,0.0,0.0,21902.39,3.6,1.83,,,,,,0.12833218229245524,0.037459950177663834,,,,0.6653347015380877,0.4099998474121094,0.25533485412597834,0.6653347015380877,
3,2019-09-30,16.200000762939453,16.26533317565918,15.740667343139648,16.058000564575195,88197000.0,0.0,0.0,21902.39,3.6,1.83,,,,,,0.1629644613532335,0.06256085241277777,,,,0.5246658325195312,0.12333297729492188,0.4013328552246094,0.5246658325195312,
4,2019-10-01,16.100000381469727,16.39666748046875,15.94200038909912,16.312667846679688,92439000.0,0.0,0.0,21902.39,3.6,1.83,,15.986000633239746,,,,0.20855620720857893,0.091759923371938,,,1.0660009384155273,0.4546670913696307,0.3386669158935547,0.116000175476076,0.4546670913696307,
5,2019-10-02,16.21933364868164,16.309999465942383,15.961999893188477,16.208667755126953,84471000.0,0.0,0.0,21902.39,3.6,1.83,,16.178400802612305,,,,0.23360322349891938,0.12012858339733427,,,0.03800010681152344,0.34799957275390625,0.0026683807373046875,0.35066795349121094,0.35066795349121094,
6,2019-10-03,15.457332611083984,15.631999969482422,14.95199966430664,15.535332679748535,226267500.0,0.0,0.0,21902.39,3.6,1.83,,16.051333808898924,,,,0.19685146986716084,0.1354731606912996,,,-0.6066675186157227,0.6800003051757812,0.5766677856445312,1.2566680908203125,1.2566680908203125,
7,2019-10-04,15.440667152404783,15.652000427246094,15.204667091369627,15.428667068481444,119925000.0,0.0,0.0,21902.39,3.6,1.83,,15.908667182922363,,,,0.15730510165154676,0.13983954888334904,,,-0.6293334960937518,0.4473333358764666,0.1166677474975586,0.330665588378908,0.4473333358764666,
8,2019-10-07,15.31999969482422,15.904000282287598,15.236666679382324,15.847999572753906,120963000.0,0.0,0.0,21902.39,3.6,1.83,,15.866666984558105,,,,0.15797985508097057,0.14346761012287335,,,-0.46466827392578125,0.6673336029052734,0.4753332138061541,0.19200038909911932,0.6673336029052734,
9,2019-10-08,15.724666595458984,16.262666702270508,15.633333206176758,16.003332138061523,130173000.0,0.0,0.0,21902.39,3.6,1.83,,15.804799842834473,,,,0.16909936961481975,0.14859396202126263,,,-0.2053356170654297,0.62933349609375,0.41466712951660156,0.21466636657714844,0.62933349609375,
10,2019-10-09,16.08799934387207,16.48666763305664,16.043333053588867,16.302000045776367,103416000.0,0.0,0.0,21902.39,3.6,1.83,,15.823466300964355,,,,0.19970954179249922,0.15881707797550995,,,0.766667366027832,0.44333457946777344,0.4833354949951172,0.04000091552734375,0.4833354949951172,
11,2019-10-10,16.351999282836914,16.618667602539062,16.10533332824707,16.31599998474121,94249500.0,0.0,0.0,21902.39,3.6,1.83,,15.979599761962891,,,,0.22253278245548458,0.17156021887150488,,,0.8873329162597674,0.5133342742919922,0.3166675567626953,0.19666671752929688,0.5133342742919922,
12,2019-10-11,16.476667404174805,16.738666534423828,16.45400047302246,16.525999069213867,127131000.0,0.0,0.0,21902.39,3.6,1.83,,16.199066162109375,,,,0.25463031640913947,0.1881742383790318,,,0.6779994964599609,0.2846660614013672,0.4226665496826172,0.13800048828125,0.4226665496826172,
13,2019-10-14,16.52666664123535,17.23666763305664,16.475332260131836,17.130666732788086,153075000.0,0.0,0.0,21902.39,3.6,1.83,,16.45559959411621,,,74.29503200078902,0.32511178407779084,0.2155617475187836,,,1.1273345947265625,0.7613353729248047,0.7106685638427734,0.05066680908203125,0.7613353729248047,0.638953072684152
14,2019-10-15,17.18000030517578,17.333332061767578,16.941333770751953,17.19266700744629,96492000.0,0.0,0.0,21902.39,3.6,1.83,,16.693466567993163,,,74.69959641154642,0.3815732204396074,0.2487640421029484,,,0.8906669616699219,0.391998291015625,0.2026653289794922,0.1893329620361328,0.391998291015625,0.616381508963449
15,2019-10-16,17.159332275390625,17.47333335876465,17.128000259399414,17.316667556762695,100261500.0,0.0,0.0,21902.39,3.6,1.83,,16.89640007019043,,,68.25226803798004,0.4313527574726592,0.28528178517689057,,,1.0006675720214844,0.3453330993652344,0.2806663513183594,0.064666748046875,0.3453330993652344,0.5652862276349753
16,2019-10-17,17.5,17.652000427246094,17.344667434692383,17.46466636657715,71539500.0,0.0,0.0,21902.39,3.6,1.83,,17.126133346557616,,,70.29458934257349,0.47724429117351974,0.3236742863762164,,,0.9386672973632812,0.30733299255371094,0.33533287048339844,0.0279998779296875,0.33533287048339844,0.541714668273926
17,2019-10-18,17.3799991607666,17.520000457763672,17.00666618347168,17.1299991607666,86247000.0,0.0,0.0,21902.39,3.6,1.83,,17.246933364868163,,,65.27353087283996,0.48106341607479663,0.3551521123159325,,,-0.000667572021484375,0.5133342742919922,0.05533409118652344,0.45800018310546875,0.5133342742919922,0.5409052712576733
18,2019-10-21,17.222000122070312,17.299999237060547,16.678667068481445,16.899999618530273,75304500.0,0.0,0.0,21902.39,3.6,1.83,,17.2007999420166,,,58.427373425602724,0.46022586194640525,0.3761668622420271,,,-0.2926673889160156,0.6213321685791016,0.1700000762939453,0.45133209228515625,0.6213321685791016,0.5528099196297783
19,2019-10-22,16.954666137695312,17.222000122070312,16.72333335876465,17.038667678833008,69012000.0,0.0,0.0,21902.39,3.6,1.83,,17.170000076293945,16.41356678009033,,61.79200008671405,0.4497172433007748,0.3908769384537767,17.720983537391035,15.106150022789627,-0.2779998779296875,0.49866676330566406,0.32200050354003906,0.176666259765625,0.49866676330566406,0.5633812631879536
