publishedAt,AAPL,GOOGL,MSFT,TSLA
2024-08-24,0.0,0.051111111111111114,0.3333333333333333,
2024-08-25,0.0578125,0.0,0.09112847222222223,
2024-08-26,0.13939393939393938,0.11833333333333333,0.03583333333333333,0.1638888888888889
2024-08-27,0.19101731601731603,0.0625,0.11875000000000001,0.0851851851851852
2024-08-28,0.048125,0.12922348484848484,0.09110119047619047,0.051478174603174595
2024-08-29,0.2236574074074074,0.20222222222222222,-0.01595819304152638,0.030208333333333337
2024-08-30,0.12329545454545454,0.41875,0.06638888888888886,-0.03518518518518524
2024-08-31,0.3333333333333333,,,0.11249999999999999
2024-09-01,0.05,0.05,0.05,0.05
2024-09-02,0.17222222222222222,0.39999999999999997,,-0.06527777777777778
2024-09-03,0.25376984126984126,0.24027777777777778,0.05312499999999999,0.20527096360429695
2024-09-04,0.0,0.21875,0.049999999999999996,0.16071428571428573
2024-09-05,0.25,-0.11979166666666667,0.5,-0.017373737373737375
2024-09-06,0.16,0.21875,0.18125,0.23125
2024-09-07,0.25,-0.0125,0.0,0.31677489177489176
2024-09-08,0.3262987012987013,0.23666666666666666,0.20833333333333331,0.10714285714285714
2024-09-09,0.2845117845117845,0.4375,0.5,0.11400000000000002
2024-09-10,0.25046196087862754,0.18541666666666667,0.31666666666666665,0.10833333333333334
2024-09-11,0.17272727272727273,0.11819444444444444,0.4055555555555555,0.23754208754208753
2024-09-12,0.20088383838383836,0.17170634920634922,0.1776830808080808,0.24659090909090908
2024-09-13,,0.3215277777777778,0.17879131450560024,0.4444444444444444
2024-09-14,0.15625,,,0.2
2024-09-15,0.4166666666666667,0.25,0.5,0.5
2024-09-16,0.11334054834054834,0.17916666666666667,-0.029999999999999992,0.0
2024-09-17,0.24749999999999997,0.1728219696969697,0.13229166666666667,0.18044372294372296
2024-09-18,0.135,0.24837962962962964,0.14666666666666667,0.19404761904761905
2024-09-19,0.3446969696969697,1.0,0.03636363636363637,0.058155363155363154
2024-09-20,0.0787037037037037,0.17091991341991342,0.07222222222222223,0.22777777777777777
2024-09-21,0.5,0.18376623376623377,0.23888888888888887,
