,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,GDP,Unemployment_Rate,Federal_Funds_Rate,AAPL_sentiment
0,2019-09-25,52.86964342971274,53.5832800556311,52.52854807483114,53.46958160400391,87613600.0,0.0,0.0,21902.39,3.6,1.83,
1,2019-09-26,53.22041223365037,53.44780913106982,52.93737684790543,53.19380187988281,75334000.0,0.0,0.0,21902.39,3.6,1.83,
2,2019-09-27,53.35105056700705,53.45265643580204,52.56242203215117,52.934967041015625,101408000.0,0.0,0.0,21902.39,3.6,1.83,
3,2019-09-30,53.438132926192445,54.32836723407189,53.41152257127916,54.18080139160156,103909600.0,0.0,0.0,21902.39,3.6,1.83,
4,2019-10-01,54.44690759010989,55.20892572229146,54.23644252145685,54.330787658691406,139223200.0,0.0,0.0,21902.39,3.6,1.83,
5,2019-10-02,53.96066680369471,54.08646155663059,52.71966219859936,52.96883392333984,138449200.0,0.0,0.0,21902.39,3.6,1.83,
6,2019-10-03,52.84061430160625,53.452652485220455,52.04231100986419,53.41878509521485,114426000.0,0.0,0.0,21902.39,3.6,1.83,
7,2019-10-04,54.58480468859434,55.03234157082383,54.16146038588458,54.91622161865234,138478800.0,0.0,0.0,21902.39,3.6,1.83,
8,2019-10-07,54.73719472794416,55.62258604871917,54.633171094211455,54.92830276489258,122306000.0,0.0,0.0,21902.39,3.6,1.83,
9,2019-10-08,54.628337384667546,55.170215598700686,54.26788870808633,54.28482055664063,111820000.0,0.0,0.0,21902.39,3.6,1.83,
10,2019-10-09,54.92106246948242,55.10491352886148,54.58480627549091,54.92106246948242,74770400.0,0.0,0.0,21902.39,3.6,1.83,
11,2019-10-10,55.138768238565625,55.7459671645104,54.986366830291374,55.66129684448242,113013600.0,0.0,0.0,21902.39,3.6,1.83,
12,2019-10-11,56.35316392859711,57.48772705316675,56.1983410438942,57.14179611206055,166795600.0,0.0,0.0,21902.39,3.6,1.83,
13,2019-10-14,56.82489345475637,57.60626865665047,56.76925495730193,57.059547424316406,96427600.0,0.0,0.0,21902.39,3.6,1.83,
14,2019-10-15,57.1853450962201,57.49015164843802,56.82006078982067,56.9265022277832,87360000.0,0.0,0.0,21902.39,3.6,1.83,
15,2019-10-16,56.45477476583228,56.90715089298827,56.41365033450342,56.696685791015625,73903200.0,0.0,0.0,21902.39,3.6,1.83,
16,2019-10-17,56.87086065653795,57.12728574646143,56.49106227559539,56.91682434082031,67585200.0,0.0,0.0,21902.39,3.6,1.83,
17,2019-10-18,56.74990571541107,57.47322099941499,56.67733167062072,57.190185546875,97433600.0,0.0,0.0,21902.39,3.6,1.83,
18,2019-10-21,57.45869915574903,58.29813058309841,57.41031769619023,58.182010650634766,87247200.0,0.0,0.0,21902.39,3.6,1.83,
19,2019-10-22,58.33925024964995,58.59083603359556,57.96670528977063,58.04895782470703,82293600.0,0.0,0.0,21902.39,3.6,1.83,
20,2019-10-23,58.56665835779632,58.84243676795087,58.35377548284572,58.827919006347656,75828800.0,0.0,0.0,21902.39,3.6,1.83,
21,2019-10-24,59.14965424914897,59.21981050266338,58.4964953208835,58.92467880249024,69275200.0,0.0,0.0,21902.39,3.6,1.83,
22,2019-10-25,58.82307459251357,59.686694868861565,58.75533981363405,59.65040969848633,73477200.0,0.0,0.0,21902.39,3.6,1.83,
23,2019-10-28,59.8536239210172,60.29632152905747,59.684286945849415,60.24794006347656,96572800.0,0.0,0.0,21902.39,3.6,1.83,
24,2019-10-29,60.2285790377487,60.41726931327545,58.6803501895116,58.854522705078125,142839600.0,0.0,0.0,21902.39,3.6,1.83,
25,2019-10-30,59.210133642367865,59.340767646414434,58.35135256552574,58.847267150878906,124522000.0,0.0,0.0,21902.39,3.6,1.83,
26,2019-10-31,59.81007808223595,60.27696454911807,57.39580359958002,60.17778015136719,139162000.0,0.0,0.0,21902.39,3.6,1.83,
27,2019-11-01,60.36646533253001,61.91227637287813,60.27454166865851,61.88566970825195,151125200.0,0.0,0.0,21902.39,3.6,1.83,
28,2019-11-04,62.25096324545611,62.37676170819249,61.77924115781138,62.292091369628906,103272000.0,0.0,0.0,21902.39,3.6,1.83,
29,2019-11-05,62.18322248317138,62.45900457958976,62.006632169799296,62.202579498291016,79897600.0,0.0,0.0,21902.39,3.6,1.83,
30,2019-11-06,62.11547711641225,62.28965331013399,61.77680323488024,62.22917556762695,75864400.0,0.0,0.0,21902.39,3.6,1.83,
31,2019-11-07,62.77997879359778,63.17062873538082,62.62711609484369,62.9473991394043,94940400.0,0.1925,0.0,21902.39,3.6,1.83,
32,2019-11-08,62.76784002709363,63.19245527704823,62.32138830999136,63.119667053222656,69986400.0,0.0,0.0,21902.39,3.6,1.83,
33,2019-11-11,62.67319283770474,63.68499333342017,62.66834275885186,63.61948394775391,81821200.0,0.0,0.0,21902.39,3.6,1.83,
34,2019-11-12,63.461770431901215,63.76264566020952,63.30891518276952,63.56125259399414,87388800.0,0.0,0.0,21902.39,3.6,1.83,
