,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,GDP,Unemployment_Rate,Federal_Funds_Rate,MSFT_sentiment
0,2019-09-25,131.33310091856026,133.6827759004705,129.92902951005837,133.10968017578125,21382000.0,0.0,0.0,21902.39,3.6,1.83,
1,2019-09-26,133.18612520945416,133.8929269183157,132.23097516013155,133.28163146972656,17456600.0,0.0,0.0,21902.39,3.6,1.83,
2,2019-09-27,133.8642720122553,134.06485993301027,130.5212468788475,131.5528106689453,22477700.0,0.0,0.0,21902.39,3.6,1.83,
3,2019-09-30,131.85843661987536,132.97596016927656,131.60054208557364,132.7944793701172,17280900.0,0.0,0.0,21902.39,3.6,1.83,
4,2019-10-01,133.39621280609092,133.9597476405485,130.8555110642078,130.92237854003906,21466600.0,0.0,0.0,21902.39,3.6,1.83,
5,2019-10-02,130.13917710417746,130.25379043120353,127.5889285568292,128.61093139648438,30521700.0,0.0,0.0,21902.39,3.6,1.83,
6,2019-10-03,128.89745004408564,130.61672243156218,127.24504513182416,130.1678009033203,24132900.0,0.0,0.0,21902.39,3.6,1.83,
7,2019-10-04,130.61672722715136,132.04945184024626,130.30152606333908,131.92527770996094,22897700.0,0.0,0.0,21902.39,3.6,1.83,
8,2019-10-07,130.9892151049994,131.9825642727936,130.87460181721482,130.97010803222656,15303700.0,0.0,0.0,21902.39,3.6,1.83,
9,2019-10-08,130.93195472437316,131.58144968387882,129.53742940774137,129.58518981933594,25550500.0,0.0,0.0,21902.39,3.6,1.83,
10,2019-10-09,131.2948861223015,132.47926244023608,130.82685751556505,132.03990173339844,19749900.0,0.0,0.0,21902.39,3.6,1.83,
11,2019-10-10,132.27871661304582,133.40578651393366,132.04947538727814,132.86135864257812,17654600.0,0.0,0.0,21902.39,3.6,1.83,
12,2019-10-11,133.83558195406673,134.7047717481206,133.2433937567429,133.41531372070312,25446000.0,0.0,0.0,21902.39,3.6,1.83,
13,2019-10-14,133.42488861265593,133.99796979403706,133.2625148825431,133.29116821289062,13304300.0,0.0,0.0,21902.39,3.6,1.83,
14,2019-10-15,133.77826515701042,135.43067006343202,133.5394777311056,135.22055053710938,19695700.0,0.0,0.0,21902.39,3.6,1.83,
15,2019-10-16,134.47554163868787,134.6665832691837,133.27205806848713,134.1125946044922,20751600.0,0.0,0.0,21902.39,3.6,1.83,
16,2019-10-17,134.62837990692245,135.07730154060488,132.78494753517103,133.42489624023438,21460600.0,0.0,0.0,21902.39,3.6,1.83,
17,2019-10-18,133.4917555670006,133.7209968083247,130.4352785548396,131.24716186523438,32273500.0,0.0,0.0,21902.39,3.6,1.83,
18,2019-10-21,132.24051210978027,132.28827252377275,130.86509380361676,132.22140502929688,20078200.0,0.0,0.0,21902.39,3.6,1.83,
19,2019-10-22,132.7371796918907,133.73052915211366,130.1487171101459,130.2537841796875,27431000.0,0.0,0.0,21902.39,3.6,1.83,
20,2019-10-23,130.74090806547983,131.28533586768654,129.52786374998072,131.0847625732422,29844600.0,0.0,0.0,21902.39,3.6,1.83,
21,2019-10-24,133.13831526610022,134.12211828498388,132.45060632045352,133.6636505126953,37029300.0,0.0,0.0,21902.39,3.6,1.83,
22,2019-10-25,133.09061582596743,134.80988897756234,132.9568953905342,134.41827392578125,25959700.0,0.0,0.0,21902.39,3.6,1.83,
23,2019-10-28,137.92362627626915,139.13667061178162,137.07354353116892,137.72305297851562,35280100.0,0.0,0.0,21902.39,3.6,1.83,
24,2019-10-29,137.61800973076444,138.01917097011946,136.2521376919403,136.424072265625,20589500.0,0.0,0.0,21902.39,3.6,1.83,
25,2019-10-30,137.08309680871494,138.49671436414343,136.38582699453443,138.12420654296875,18496600.0,0.0,0.0,21902.39,3.6,1.83,
26,2019-10-31,138.4012590203263,138.4299123605516,136.57693320342807,136.93988037109375,24605100.0,0.0,0.0,21902.39,3.6,1.83,
27,2019-11-01,137.78992923341724,137.942756726268,136.55779218658407,137.27415466308594,33128400.0,0.0,0.0,21902.39,3.6,1.83,
28,2019-11-04,138.33435057444817,138.49672429538018,137.6944019421528,138.06690979003906,16912000.0,0.0,0.0,21902.39,3.6,1.83,
29,2019-11-05,138.4681088448771,138.5158692639643,137.45565208773593,137.98098754882812,18250200.0,0.0,0.0,21902.39,3.6,1.83,
30,2019-11-06,137.89498634889716,138.03826757850342,136.77746271523637,137.59889221191406,16575800.0,0.0,0.0,21902.39,3.6,1.83,
31,2019-11-07,137.38877100428203,138.3821351551342,137.3219180837157,137.78993225097656,17786700.0,0.0,0.0,21902.39,3.6,1.83,
32,2019-11-08,137.52244369601996,139.44230383648488,137.31230960527824,139.4136505126953,16732700.0,0.0,0.0,21902.39,3.6,1.83,
33,2019-11-11,138.82150668884756,139.85307050604465,138.23886456731307,139.55697631835938,14362600.0,0.0,0.0,21902.39,3.6,1.83,
34,2019-11-12,139.71931568604774,140.95146712595565,139.50918155791504,140.47389221191406,18641600.0,0.0,0.0,21902.39,3.6,1.83,
35,2019-11-13,140.1587123526203,140.84642149946757,139.7193369520777,140.70314025878906,16919200.0,0.0,0.0,21902.39,3.6,1.83,
36,2019-11-14,140.4261602778306,141.75381822507924,140.40705319655456,141.4195098876953,19729800.0,0.0,0.0,21902.39,3.6,1.83,
37,2019-11-15,142.25045621234943,143.26292726773923,141.6200684054316,143.2438201904297,23485700.0,0.0,0.0,21902.39,3.6,1.83,
38,2019-11-18,143.33934903071773,143.7978168908167,142.298224588267,143.59722900390625,21534000.0,0.0,0.0,21902.39,3.6,1.83,
39,2019-11-19,144.11303300738177,144.54284758159005,143.46352344515628,143.64500427246094,23935700.0,0.0,0.0,21902.39,3.6,1.83,
40,2019-11-20,144.05709604355275,144.56504685382652,142.28406488709504,143.3957977294922,25696800.0,0.51,0.0,21902.39,3.6,1.83,
41,2019-11-21,143.1849686933843,143.5683375067363,142.32241445538585,143.2616424560547,18576100.0,0.0,0.0,21902.39,3.6,1.83,
42,2019-11-22,143.8271233082572,144.04755125688564,142.62912307262778,143.36708068847656,15901800.0,0.0,0.0,21902.39,3.6,1.83,
43,2019-11-25,143.759984477867,145.05383018777653,143.68331073126285,144.93881225585938,22420900.0,0.0,0.0,21902.39,3.6,1.83,
44,2019-11-26,145.0634552840318,146.0793571591784,145.0251257104906,145.70558166503906,24620100.0,0.0,0.0,21902.39,3.6,1.83,
45,2019-11-27,145.9930839850462,146.1560102415801,145.21678227049222,145.98350524902344,15184400.0,0.0,0.0,21902.39,3.6,1.83,
46,2019-11-29,145.772644991053,145.9643220651194,144.98674997615043,145.0825958251953,11977300.0,0.0,0.0,21902.39,3.6,1.83,
47,2019-12-02,145.4947452534655,145.51391735393645,142.14993761066526,143.32876586914062,27418400.0,0.0,0.0,21902.39,3.6,1.83,
