,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,GDP,Unemployment_Rate,Federal_Funds_Rate,GOOGL_sentiment
0,2019-09-25,60.65032187497841,62.246870652980895,60.310663030935096,62.14312744140625,26798000.0,0.0,0.0,21902.39,3.6,1.83,
1,2019-09-26,61.95358984434712,62.07978036389753,61.43886555698492,61.9610710144043,23166000.0,0.0,0.0,21902.39,3.6,1.83,
2,2019-09-27,61.988008549257415,62.0957434931256,60.60992062216815,61.146095275878906,34122000.0,0.0,0.0,21902.39,3.6,1.83,
3,2019-09-30,60.879251415401015,61.21891024040539,60.52114081308937,60.90618515014648,24470000.0,0.0,0.0,21902.39,3.6,1.83,
4,2019-10-01,60.97351884962621,61.49073940003669,60.12861087202919,60.15105438232422,24504000.0,0.0,0.0,21902.39,3.6,1.83,
5,2019-10-02,59.67722877004994,59.78994861700464,58.48667628214002,58.75052261352539,33030000.0,0.0,0.0,21902.39,3.6,1.83,
6,2019-10-03,59.02085558001461,59.402908980302,58.01335198416308,59.32460403442383,28368000.0,0.0,0.0,21902.39,3.6,1.83,
7,2019-10-04,59.56700022618818,60.47325681898876,59.40140989585155,60.39844131469727,24282000.0,0.0,0.0,21902.39,3.6,1.83,
8,2019-10-07,60.20092952609477,60.79495954087507,60.06925560627412,60.263275146484375,17040000.0,0.0,0.0,21902.39,3.6,1.83,
9,2019-10-08,59.79044829019775,60.1944467017874,59.32709520277381,59.35951614379883,20086000.0,0.0,0.0,21902.39,3.6,1.83,
10,2019-10-09,59.91813522254439,60.27375337629534,59.75802828416753,59.97150039672852,15948000.0,0.0,0.0,21902.39,3.6,1.83,
11,2019-10-10,59.78197066984404,60.63086659378379,59.74506330953899,60.324127197265625,12842000.0,0.0,0.0,21902.39,3.6,1.83,
12,2019-10-11,61.05032973137085,61.28574686260437,60.53211218700227,60.63535690307617,22330000.0,0.0,0.0,21902.39,3.6,1.83,
13,2019-10-14,60.54458090734864,61.14259885819381,60.444330944477485,60.73810195922852,13296000.0,0.0,0.0,21902.39,3.6,1.83,
14,2019-10-15,60.92414270289999,62.20247529935087,60.89521500396174,61.95858001708984,27584000.0,0.0,0.0,21902.39,3.6,1.83,
15,2019-10-16,61.93713580015727,62.5546063472258,61.77353942036612,61.996490478515625,22986000.0,0.0,0.0,21902.39,3.6,1.83,
16,2019-10-17,62.41544847668967,63.03142352335772,62.33913749663184,62.48527526855469,20958000.0,0.0,0.0,21902.39,3.6,1.83,
17,2019-10-18,62.57954476614205,62.750120016466994,61.85384079992892,62.06681442260742,31624000.0,0.0,0.0,21902.39,3.6,1.83,
18,2019-10-21,62.28078039920574,62.52068393415446,61.84635503377016,62.060325622558594,18094000.0,0.0,0.0,21902.39,3.6,1.83,
19,2019-10-22,62.07030415011404,62.282280791774426,61.83937723962322,61.90671157836914,22862000.0,0.0,0.0,21902.39,3.6,1.83,
20,2019-10-23,61.8573340401422,62.74663057730452,61.8573340401422,62.72618103027344,21282000.0,0.0,0.0,21902.39,3.6,1.83,
21,2019-10-24,62.79999923706055,62.98903006942748,62.46283286090563,62.79999923706055,20224000.0,0.0,0.0,21902.39,3.6,1.83,
22,2019-10-25,62.44537436059134,63.243401377753074,62.30322831915398,63.05885696411133,27104000.0,0.0,0.0,21902.39,3.6,1.83,
23,2019-10-28,63.59253918841157,64.80154357132602,63.458372800190574,64.28981018066406,65428000.0,0.0,0.0,21902.39,3.6,1.83,
24,2019-10-29,63.642411678320826,63.88182054677108,62.62542913764624,62.8773078918457,52654000.0,0.0,0.0,21902.39,3.6,1.83,
25,2019-10-30,62.60248445524665,63.24439624559598,62.37804174246946,62.87929916381836,29204000.0,0.0,0.0,21902.39,3.6,1.83,
26,2019-10-31,62.844387621979855,63.169582602769935,62.31968588768409,62.7845344543457,31904000.0,0.0,0.0,21902.39,3.6,1.83,
27,2019-11-01,63.13367392421879,63.49278532914341,62.82992546413214,63.45537567138672,28812000.0,0.0,0.0,21902.39,3.6,1.83,
28,2019-11-04,63.64789608453286,64.46537183308035,63.64789608453286,64.32122802734375,30632000.0,0.0,0.0,21902.39,3.6,1.83,
29,2019-11-05,64.40052708044036,64.70178305466682,64.30975606173081,64.4124984741211,25148000.0,0.0,0.0,21902.39,3.6,1.83,
30,2019-11-06,64.34517586951986,64.4898143723279,63.95514279241336,64.39105987548828,24626000.0,0.0,0.0,21902.39,3.6,1.83,
31,2019-11-07,64.55415293817889,65.9691520356038,64.52772149843751,65.18559265136719,45140000.0,0.0,0.0,21902.39,3.6,1.83,
32,2019-11-08,64.91526092669284,65.6928384500776,64.91526092669284,65.28833770751953,30392000.0,0.0,0.0,21902.39,3.6,1.83,
33,2019-11-11,65.03895117612309,65.08384580891259,64.63346108712084,64.753662109375,17234000.0,0.0,0.0,21902.39,3.6,1.83,
34,2019-11-12,64.76811969229745,65.30578978837639,64.5521551311431,64.70028686523438,28852000.0,0.0,0.0,21902.39,3.6,1.83,
35,2019-11-13,64.49928713375128,64.96513649284671,64.44791592312093,64.64891815185547,20538000.0,0.0,0.0,21902.39,3.6,1.83,
36,2019-11-14,64.5900654106318,65.62350956230617,64.53719492200086,65.29581451416016,28948000.0,0.0,0.0,21902.39,3.6,1.83,
37,2019-11-15,65.59009778821601,66.51231384277344,65.43248328955387,66.51231384277344,39286000.0,0.0,0.0,21902.39,3.6,1.83,
38,2019-11-18,66.45244328244674,66.53125051567127,65.64544351523956,65.82898712158203,27984000.0,0.0,0.0,21902.39,3.6,1.83,
39,2019-11-19,66.16765383942924,66.16765383942924,65.42649287528248,65.46739196777344,21864000.0,0.0,0.0,21902.39,3.6,1.83,
40,2019-11-20,65.40604567122459,65.49831597548904,64.30128305924538,64.93222045898438,28892000.0,0.0,0.0,21902.39,3.6,1.83,
41,2019-11-21,64.80204320979432,65.39407549058342,64.37808992170653,64.846435546875,25546000.0,0.0,0.0,21902.39,3.6,1.83,
42,2019-11-22,64.9890821295883,65.18360017848109,64.30876744949227,64.52373504638672,27776000.0,0.0,0.0,21902.39,3.6,1.83,
43,2019-11-25,64.65291470731488,65.35866382587912,64.62049376498493,65.1207504272461,23590000.0,0.0,0.0,21902.39,3.6,1.83,
44,2019-11-26,65.3337251271156,65.538220604748,65.0409548804077,65.48784637451172,21910000.0,0.0,0.0,21902.39,3.6,1.83,
45,2019-11-27,65.6085414066917,65.71926728418059,65.31177565875014,65.44444274902344,18808000.0,0.0,0.0,21902.39,3.6,1.83,
46,2019-11-29,65.16862767196712,65.33570966184469,65.00054108963879,65.0434341430664,12802000.0,0.0,0.0,21902.39,3.6,1.83,
47,2019-12-02,64.96713437287,65.11078350755058,63.860872409000685,64.28382873535156,26538000.0,0.0,0.0,21902.39,3.6,1.83,
48,2019-12-03,63.77508011016716,64.70129158812475,63.694781202977154,64.57709503173828,25270000.0,0.0,0.0,21902.39,3.6,1.83,
49,2019-12-04,65.14369089785855,66.0499474883301,64.99156362951621,65.78410339355469,35506000.0,0.0,0.0,21902.39,3.6,1.83,
50,2019-12-05,66.18611414230843,66.23499670460942,65.55368505237371,66.18412017822266,24408000.0,0.0,0.0,21902.39,3.6,1.83,
51,2019-12-06,66.4729040785117,66.95770373214265,66.39709538869808,66.80408477783203,32968000.0,0.0,0.0,21902.39,3.6,1.83,
52,2019-12-09,66.77764781602808,67.70984119234218,66.63848891846423,66.98363494873047,30842000.0,0.0,0.0,21902.39,3.6,1.83,
53,2019-12-10,66.83151058162535,67.23351499889431,66.53523952108497,66.97864532470703,17606000.0,0.0,0.0,21902.39,3.6,1.83,
54,2019-12-11,67.24848511478665,67.32778704414083,66.88937370993958,67.0464859008789,20480000.0,0.0,0.0,21902.39,3.6,1.83,
55,2019-12-12,66.99460961323909,67.56170210063846,66.74473244064356,67.2579574584961,29114000.0,0.0,0.0,21902.39,3.6,1.83,
56,2019-12-13,67.2285333842366,67.40060792417968,66.91730754450053,67.17716217041016,33170000.0,0.0,0.0,21902.39,3.6,1.83,
57,2019-12-16,67.58265890917214,68.00810388004875,67.36370338321386,67.86695861816406,28128000.0,0.0,0.0,21902.39,3.6,1.83,
58,2019-12-17,67.95223439171323,68.04799793209271,67.37167125777785,67.57716369628906,32948000.0,0.0,0.0,21902.39,3.6,1.83,
59,2019-12-18,67.6824081829006,67.80360618906064,67.35622001687113,67.42853546142578,23330000.0,0.0,0.0,21902.39,3.6,1.83,
60,2019-12-19,67.42853796849627,67.70884975052842,67.27093108605426,67.65447998046875,28922000.0,0.0,0.0,21902.39,3.6,1.83,
61,2019-12-20,67.98665383002047,68.03154085210049,67.36968178763615,67.39411926269531,50090000.0,0.0,0.0,21902.39,3.6,1.83,
62,2019-12-23,67.76869108268201,67.92430398254454,67.23351726166509,67.36469268798828,19936000.0,0.0,0.0,21902.39,3.6,1.83,
63,2019-12-24,67.34374569398283,67.43352734957205,67.0424973025962,67.05545806884766,13468000.0,0.0,0.0,21902.39,3.6,1.83,
64,2019-12-26,67.1611916818426,67.99163956013255,67.10931818032658,67.9552230834961,23662000.0,0.0,0.0,21902.39,3.6,1.83,
65,2019-12-27,68.03153596068124,68.18366322752526,67.48289908342281,67.564697265625,23212000.0,0.0,0.0,21902.39,3.6,1.83,
66,2019-12-30,67.67292928296517,67.68240441698548,66.72677055872944,66.82003784179688,19994000.0,0.0,0.0,21902.39,3.6,1.83,
67,2019-12-31,66.62452906868909,66.86742738653787,66.44198241334628,66.80408477783203,19514000.0,0.0,0.0,21902.39,3.6,1.83,
68,2020-01-02,67.25396825227409,68.26496124267578,67.15820470940535,68.26496124267578,27278000.0,0.0,0.0,21902.39,3.6,1.83,
69,2020-01-03,67.23352697253473,68.51784539133598,67.1996067497704,67.90785217285156,23408000.0,0.0,0.0,21902.39,3.6,1.83,
70,2020-01-06,67.41456277452367,69.74329944502612,67.38314642820997,69.71786499023438,46768000.0,0.0,0.0,21902.39,3.6,1.83,
71,2020-01-07,69.85004728392802,70.00167227332258,69.40614672897061,69.58320617675781,34330000.0,0.0,0.0,21902.39,3.6,1.83,
72,2020-01-08,69.56873654287776,70.41813479289839,69.45950993112685,70.07847595214844,35314000.0,0.0,0.0,21902.39,3.6,1.83,
73,2020-01-09,70.92087828641905,71.25754613629998,70.33632724964772,70.81414794921875,33200000.0,0.0,0.0,21902.39,3.6,1.83,
74,2020-01-10,71.29696459074559,71.56978758846383,70.80468377216697,71.27152252197266,26258000.0,0.0,0.0,21902.39,3.6,1.83,
75,2020-01-13,71.58524609825918,71.89597725214644,71.09247058372182,71.82366180419922,30730000.0,0.0,0.0,21902.39,3.6,1.83,
